Genre,count,Global_Avg_Sales
Action,3316,2.4851234567901233
Sports,2346,2.339084249084249
Misc,1739,2.056981981981982
Role-Playing,1488,2.415243902439024
Shooter,1310,2.5547407407407405
Adventure,1286,1.0330578512396693
Racing,1249,2.0579357798165137
Platform,886,2.618619246861925
Simulation,867,1.488012048192771
Fighting,848,1.4558426966292135
Strategy,681,0.8842201834862385
Puzzle,582,1.4375396825396825
